conference_name,event_type,attendence_type,start_date,end_date,address,sponsors,map,website
"2024 Design, Automation & Test in Europe Conference & Exhibition (DATE)",Technical Conference,In Person,25 March 2024,27 March 2024,"Valencia, Spain","['IEEE Computer Society', 'IEEE Council on Electronic Design Automation', 'Association for Computing Machinery Special Interest Group on Design Automation - ACM SIGDA', 'European Design and Automation Association - EDAA', 'SEMI - Electronic System Design Alliance', 'IEEE Solid-State Circuits Society']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=39.46894%2C-0.37686&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.date-conference.com/
2024 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML),Technical Conference,In Person,9 April 2024,11 April 2024,"Toronto, Ontario, Canada",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=43.653226%2C-79.3831843&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://satml.org/
2024 IEEE 25th Latin American Test Symposium (LATS),Technical Conference,In Person,9 April 2024,12 April 2024,"Maceio, Brazil","['IEEE Computer Society', 'IEEE Council on Electronic Design Automation', 'Universidade Federal Rio Grande do Sul']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=-9.66648%2C-35.73495&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://lats.tttc-events.org/
"2024 Asia-Pacific Conference on Image Processing, Electronics and Computers (IPEC)",Technical Conference,Hybrid,12 April 2024,14 April 2024,"Dalian, China (Hybrid)","['IEEE Computer Society', 'Beijing University of Technology']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.9139899%2C121.6147&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://www.acipec.org/
2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),Technical Conference,In Person,14 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'Association for Computing Machinery Special Interest Group on Software Engineering - ACM SIGSOFT', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024
2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),Technical Conference,In Person,14 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024
2024 IEEE/ACM 46th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET),Technical Conference,In Person,14 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/track/icse-2024/icse-2024-software-engineering-education-and-training-track
2024 IEEE/ACM 46th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS),Technical Conference,In Person,14 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/track/icse-2024/icse-2024-software-engineering-in-society
2024 IEEE/ACM 46th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),Technical Conference,In Person,14 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/track/icse-2024/icse-2024-new-ideas-and-emerging-results
2024 IEEE/ACM 46th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),Technical Conference,In Person,14 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/track/icse-2024/icse-2024-software-engineering-in-practice
2024 IEEE/ACM 3rd International Conference on AI Engineering – Software Engineering for AI (CAIN),Technical Conference,In Person,14 April 2024,15 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/cain-2024
2024 IEEE/ACM 17th International Conference on Cooperative and Human Aspects of Software Engineering (CHASE),Technical Conference,In Person,14 April 2024,15 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/chase-2024
2024 IEEE/ACM 12th International Conference on Formal Methods in Software Engineering (FormaliSE),Technical Conference,In Person,14 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/Formalise-2024
2024 IEEE/ACM International Conference on Technical Debt (TechDebt),Technical Conference,In Person,14 April 2024,15 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/TechDebt-2024
2024 IEEE/ACM 11th International Conference on Mobile Software Engineering and Systems (MOBILESoft),Technical Conference,In Person,14 April 2024,15 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/mobilesoft-2024
2024 IEEE/ACM 12th International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems (SESoS),Technical Conference,In Person,14 April 2024,14 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024/sesos-2024
2024 IEEE/ACM International Flaky Tests Workshop (FTW),Technical Conference,In Person,14 April 2024,14 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024/ftw-2024
2024 IEEE/ACM International Workshop New Trends in Software Architecture (SATrends),Technical Conference,In Person,14 April 2024,14 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024/satrends-2024
2024 IEEE/ACM 8th International Workshop on Games and Software Engineering (GAS),Technical Conference,In Person,14 April 2024,14 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://sites.google.com/view/gas-2024
2024 IEEE/ACM International Workshop on Search-Based and Fuzz Testing (SBFT),Technical Conference,In Person,14 April 2024,14 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://sbft24.github.io/
2024 IEEE/ACM First International Conference on AI Foundation Models and Software Engineering (Forge),Technical Conference,In Person,14 April 2024,14 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/forge-2024
2024 IEEE/ACM International Conference on Automation of Software Test (AST),Technical Conference,In Person,15 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/ast-2024
2024 IEEE/ACM 32nd International Conference on Program Comprehension (ICPC),Technical Conference,In Person,15 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icpc-2024
2024 IEEE/ACM 19th Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS),Technical Conference,In Person,15 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/seams-2024
2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),Technical Conference,In Person,15 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://2024.msrconf.org/
2024 IEEE/ACM 6th International Workshop on Robotics Software Engineering (RoSE),Technical Conference,In Person,15 April 2024,15 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://rose-workshops.github.io/rose2024/
2024 IEEE/ACM International Workshop on Designing Software (Designing),Technical Conference,In Person,15 April 2024,15 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://designing2024.github.io/
"2024 IEEE/ACM 2nd International Workshop on Interpretability, Robustness, and Benchmarking in Neural Software Engineering (InteNSE)",Technical Conference,In Person,15 April 2024,15 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://intense24.github.io/
2024 IEEE/ACM 4th International Workshop on Engineering and Cybersecurity of Critical Systems and 2024 IEEE/ACM Second International Workshop on Software Vulnerability (EnCyCriS/SVM),Technical Conference,In Person,15 April 2024,15 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024/encycris-svm-2024
2024 IEEE/ACM International Workshop on Genetic Improvement (GI),Technical Conference,In Person,16 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://geneticimprovementofsoftware.com/events/icse2024
2024 IEEE/ACM International Workshop on Software-Intensive Business (IWSiB),Technical Conference,In Person,16 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://iwsib2024.github.io/
2024 IEEE/ACM Workshop on Software Engineering Challenges in Financial Firms (FinanSE),Technical Conference,In Person,16 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://finanse24.github.io/
"2024 IEEE/ACM Workshop on Multi-disciplinary, Open, and RElevant Requirements Engineering (MO2RE)",Technical Conference,In Person,16 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://mo2re.github.io/
2024 IEEE/ACM 5th International Workshop on Quantum Software Engineering (Q-SE),Technical Conference,In Person,16 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024/q-se-2024#About
2024 IEEE/ACM International Workshop on Methodological Issues with Empirical Studies in Software Engineering (WSESE),Technical Conference,In Person,16 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://2024.ese-workshops.org/
2024 IEEE/ACM International Workshop on Responsible AI Engineering (RAIE),Technical Conference,In Person,16 April 2024,16 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024/raie-2024
2024 IEEE Symposium in Low-Power and High-Speed Chips (COOL CHIPS),Technical Conference,Hybrid,17 April 2024,19 April 2024,"Tokyo, Japan (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=35.6761919%2C139.6503106&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.coolchips.org/2024/
2024 9th International Conference on Intelligent Computing and Signal Processing (ICSP),Technical Conference,Hybrid,19 April 2024,21 April 2024,"Xian, China (Hybrid)","['IEEE Computer Society', 'Xi’an University of Science and Technology']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=30.40108%2C-92.70546&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://ic-icsp.org/
"2024 IEEE/ACM Workshop on Gender Equality, Diversity, and Inclusion in Software Engineering (GEICSE)",Technical Conference,In Person,20 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024
2024 IEEE/ACM International Workshop on Deep Learning for Testing and Testing for Deep Learning (DeepTest),Technical Conference,In Person,20 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024
2024 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),Technical Conference,In Person,20 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024
2024 IEEE/ACM 6th International Workshop on Software Engineering Research & Practices for the IoT (SERP4IoT),Technical Conference,In Person,20 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024
2024 IEEE/ACM International Workshop on Automated Program Repair (APR),Technical Conference,In Person,20 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024
2024 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),Technical Conference,In Person,20 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://llm4code.github.io/
2024 IEEE/ACM First IDE Workshop (IDE),Technical Conference,In Person,20 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,
2024 IEEE/ACM Workshop on Explainability Engineering (ExEn),Technical Conference,In Person,20 April 2024,20 April 2024,"Lisbon, Portugal","['IEEE Computer Society', 'ACM SIGSOFT/SIGART/SIGPLAN', 'Faculty of Engineering of the University of Porto']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.7222524%2C-9.1393366&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icse-2024
2024 IEEE 42nd VLSI Test Symposium (VTS),Technical Conference,In Person,22 April 2024,24 April 2024,"Tempe, Arizona, USA","['IEEE Computer Society', 'Philadelphia Section']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=33.4255104%2C-111.9400054&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://tttc-vts.org/public_html/new/2024/
